tagid	en	tw	dim
19	Action	動作	dim0
21	Adventure	冒險	dim0
122	RPG	角色扮演	dim0
9	Strategy	策略	dim0
599	Simulation	模擬	dim0
597	Casual	休閒	dim0
1664	Puzzle	解謎	dim0
699	Racing	競速	dim0
701	Sports	運動	dim0
492	Indie	獨立	dim0
113	Free to Play	免費遊玩	dim0
493	Early Access	搶先體驗	dim0
4231	Action RPG	動作角色扮演	dim1
4434	JRPG	日系角色扮演	dim1
4474	CRPG	電腦角色扮演	dim1
1716	Roguelike	類 Rogue	dim1
3959	Roguelite	輕度 Rogue	dim1
1091588	Roguelike Deckbuilder	類 Rogue 牌組製作	dim1
1628	Metroidvania	類銀河戰士惡魔城	dim1
29482	Souls-like	類魂	dim1
1625	Platformer	平台	dim1
3877	Precision Platformer	精確平台	dim1
5537	Puzzle Platformer	平台解謎	dim1
5379	2D Platformer	2D 平台	dim1
5395	3D Platformer	3D 平台	dim1
1774	Shooter	射擊	dim1
1663	FPS	第一人稱射擊	dim1
3814	Third-Person Shooter	第三人稱射擊	dim1
4255	Shoot 'Em Up	清版射擊	dim1
4885	Bullet Hell	彈幕	dim1
4758	Twin Stick Shooter	雙搖桿射擊	dim1
5547	Arena Shooter	競技場射擊	dim1
1023537	Boomer Shooter	老式射擊	dim1
1199779	Extraction Shooter	撤離射擊	dim1
353880	Looter Shooter	刷寶射擊	dim1
620519	Hero Shooter	英雄射擊	dim1
1743	Fighting	格鬥	dim1
4158	Beat 'em up	帶狀捲軸動作	dim1
1646	Hack and Slash	砍殺	dim1
1687	Stealth	潛行	dim1
1662	Survival	生存	dim1
3978	Survival Horror	生存恐怖	dim1
1100689	Open World Survival Craft	開放世界生存工藝	dim1
176981	Battle Royale	大逃殺	dim1
1718	MOBA	多人線上戰術競技	dim1
1754	MMORPG	MMORPG	dim1
1645	Tower Defense	塔防	dim1
4328	City Builder	城市營造	dim1
220585	Colony Sim	殖民模擬	dim1
7332	Base Building	基地建設	dim1
87918	Farming Sim	農場模擬	dim1
10235	Life Sim	生活模擬	dim1
9551	Dating Sim	戀愛模擬	dim1
9204	Immersive Sim	沉浸模擬	dim1
12472	Management	管理	dim1
255534	Automation	自動化	dim1
4364	Grand Strategy	大戰略	dim1
1670	4X	4X	dim1
1741	Turn-Based Strategy	回合制策略	dim1
14139	Turn-Based Tactics	回合制戰術	dim1
1676	RTS	即時策略	dim1
